,misc,misc_features
0,"<h2 class=""title"">Breaking</h2>","{""tag_sequence"": ""html>body>div>div>div>h2"", ""next_sibling"": ""div"", ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 34.90625, ""y"": 10, ""height"": 25, ""width"": 93, ""is_visible"": true, ""aria_role"": ""heading"", ""bgcolor"": [255, 255, 255, 1], ""font_color"": [34, 34, 34, 1], ""font_size"": ""15px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
1,"<h2 class=""title"">MKRdezign</h2>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>h2"", ""next_sibling"": ""div"", ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 15.703125, ""y"": 267.734375, ""height"": 29, ""width"": 754, ""is_visible"": true, ""aria_role"": ""heading"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [255, 255, 255, 1], ""font_size"": ""21px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
2,"<a href=""https://www.kathiravan.com/"">Home</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [255, 255, 255, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
3,"<a href=""https://www.kathiravan.com"" itemprop=""url"">செய்திகள்</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
4,"<a href=""https://www.kathiravan.com/search/label/இலங்கை?&amp;max-results=7"" itemprop=""url"">_இலங்கை</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
5,"<a href=""https://www.kathiravan.com/search/label/இந்தியா?&amp;max-results=7"" itemprop=""url"">_இந்தியா</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
6,"<a href=""https://www.kathiravan.com/search/label/World?&amp;max-results=7"" itemprop=""url"">_உலகம்</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
7,"<a href=""https://www.kathiravan.com/search/label/சிறப்பு%20செய்திகள்?&amp;max-results=7"" itemprop=""url"">_சிறப்பு செய்திகள்</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
8,"<a href=""https://www.kathiravan.com/search/label/தொழில்நுட்பம்?&amp;max-results=7"" itemprop=""url"">_தொழில்நுட்பம்</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
9,"<a href=""https://www.kathiravan.com/search/label/சினிமா?&amp;max-results=7"" itemprop=""url"">சினிமா</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
10,"<a href=""https://www.kathiravan.com/search/label/ஆன்மீகம்?&amp;max-results=7"" itemprop=""url"">ஆன்மிகம்</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
11,"<a href=""https://www.kathiravan.com/search/label/ஜோதிடம்?&amp;max-results=7"" itemprop=""url"">_ஜோதிடம்</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
12,"<a href=""https://www.youtube.com/channel/UCZiQ2EzTpXb6wGo7EoLfw5g/videos"" itemprop=""url"">_கதிரவன்  காணொளி</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
13,"<a href=""https://www.kathiravan.com/search/label/பலதும்%20பத்தும்?&amp;max-results=7"" itemprop=""url"">பலதும் பத்தும்</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
14,"<a href=""https://www.kathiravan.com/search/label/%E0%AE%95%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AE%B5%E0%AE%A9%E0%AF%8D%20%E0%AE%89%E0%AE%B2%E0%AE%BE?&amp;max-results=7"" itemprop=""url"">_கதிரவன் உலா </a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
15,"<a href=""https://www.kathiravan.com/search/label/கதிரவன்%20களஞ்சியம்?&amp;max-results=7"" itemprop=""url"">_கதிரவன் களஞ்சியம்</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
16,"<a href=""https://www.kathiravan.com/search/label/மரண%20அறிவித்தல்?&amp;max-results=7"" itemprop=""url"">அறிவித்தல்கள்</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
17,"<a href=""https://www.kathiravan.com/search/label/மரண%20அறிவித்தல்?&amp;max-results=7"" itemprop=""url"">_மரண அறிவித்தல்</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
18,"<a href=""https://www.kathiravan.com/search/label/கண்ணீர்%20அஞ்சலி?&amp;max-results=7"" itemprop=""url"">_கண்ணீர் அஞ்சலி</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
19,"<a href=""https://www.kathiravan.com/search/label/நினைவஞ்சலி?&amp;max-results=7"" itemprop=""url"">_நினைவஞ்சலி</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
20,"<a href=""https://kathiravanworld.blogspot.com/p/blog-page.html"" itemprop=""url"">எம்மைப்பற்றி</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>a"", ""next_sibling"": null, ""parent_node"": ""li"", ""prev_sibling"": null, ""child_nodes"": []}"
21,"<div id=""new-badge"" style=""display:none;"">New</div>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div"", ""next_sibling"": ""div"", ""parent_node"": ""div"", ""prev_sibling"": ""meta"", ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 20, ""width"": 28, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
22,"<a href=""https://www.kathiravan.com/search/label/cinema%20news?&amp;max-results=7"" rel=""tag"">cinema news</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>span>a"", ""next_sibling"": ""a"", ""parent_node"": ""span"", ""prev_sibling"": ""i"", ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [0, 0, 0, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
23,"<span class=""label-head"">
<i class=""fa fa-folder-open-o""></i>
<a href=""https://www.kathiravan.com/search/label/cinema%20news?&amp;max-results=7"" rel=""tag"">cinema news</a>,
<a href=""https://www.kathiravan.com/search/label/slider?&amp;max-results=7"" rel=""tag"">slider</a>
</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>span"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": ""span"", ""child_nodes"": [""a"", ""i""], ""x"": 35.703125, ""y"": 567.75, ""height"": 15, ""width"": 134, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [189, 189, 189, 1], ""font_size"": ""13px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
24,"<a href=""https://www.kathiravan.com/search/label/slider?&amp;max-results=7"" rel=""tag"">slider</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>span>a"", ""next_sibling"": null, ""parent_node"": ""span"", ""prev_sibling"": ""a"", ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [0, 0, 0, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
25,"<span style='background-color: white; color: #555555; font-family: ""Signika Negative"", ""Mukta Malar"", sans-serif; font-size: 16px;'>நடிகர் அஜித் நடிப்பில் இயக்குனர் எச்.வினோத் இயக்கத்தில் நேற்று வெளியாகி உலகமெங்கும் பெரிய வரவேற்பை பெற்று வரும் திரைப்படம் வலிமை.</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>span"", ""next_sibling"": ""p"", ""parent_node"": ""div"", ""prev_sibling"": ""div"", ""child_nodes"": []}"
26,"<p style='background-color: white; box-sizing: border-box; color: #555555; font-family: ""Signika Negative"", ""Mukta Malar"", sans-serif; font-size: 16px; line-height: 24px; margin-bottom: 1rem; margin-top: 0px;'>அஜித் ரசிகர்கள் மட்டுமின்றி அனைவரும் கொண்டாடும் படி வலிமை படம் இருப்பதால் இப்படம் பெரிய வசூல் சாதனை படைக்கும் என்பதில் சந்தேகமே இல்லை.</p>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p"", ""next_sibling"": ""p"", ""parent_node"": ""div"", ""prev_sibling"": ""p"", ""child_nodes"": []}"
27,"<p style='background-color: white; box-sizing: border-box; color: #555555; font-family: ""Signika Negative"", ""Mukta Malar"", sans-serif; font-size: 16px; line-height: 24px; margin-bottom: 1rem; margin-top: 0px;'>வலிமை தான் அஜித் திரைப்பயணத்தில் அதிக வசூல் செய்த திரைப்படமாகவும் இருக்கும் எனவும் கூறப்பட்டு வருகிறது.</p>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p"", ""next_sibling"": ""p"", ""parent_node"": ""div"", ""prev_sibling"": ""p"", ""child_nodes"": []}"
28,"<p style='background-color: white; box-sizing: border-box; color: #555555; font-family: ""Signika Negative"", ""Mukta Malar"", sans-serif; font-size: 16px; line-height: 24px; margin-bottom: 1rem; margin-top: 0px;'>இதனிடையே தற்போது வலிமை படத்தின் முதல் நாள் சிங்கப்பூர் வசூல் குறித்த விவரம் வெளியாகியுள்ளது. அதன்படி இப்படம் அங்கு 50% இருக்கைகளுடன் SG$203K வரை வசூல் செய்துள்ளதாம்.</p>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p"", ""next_sibling"": ""p"", ""parent_node"": ""div"", ""prev_sibling"": ""p"", ""child_nodes"": []}"
